"","G1.delta","G2.delta","G3.delta","G4.delta","G5.delta","G6.delta","G7.delta","G8.delta","G9.delta","G10.delta","G11.delta","G12.delta"
"G1.delta",1,0.0184434555900864,-0.0536274062767945,-0.0424195458768276,-0.123152108123439,0.0454497666475668,0.104799226855316,-0.0857016221053696,0.0592281300768851,-0.142824940482918,-0.112440349142743,-0.112387254369128
"G2.delta",0.0184434555900864,1,0.313371865043539,-0.111927386681279,0.13758120601628,-0.29223136224785,0.191925359151204,0.0413004559656975,0.0948585391945998,0.0798311692259219,-0.0547582367673104,-0.0547237509989468
"G3.delta",-0.0536274062767945,0.313371865043539,1,-0.11318130990057,0.00607943083480928,0.18500089794755,-0.0196054241819118,-0.138126580000105,0.189500474229317,0.0702743398996662,-0.0697930564223974,-0.0697547026322373
"G4.delta",-0.0424195458768276,-0.111927386681279,-0.11318130990057,1,0.0498448503246776,-0.00214119085550994,0.318403190383037,0.0838163005061363,-0.0013615287449468,-0.0218595890066217,0.338782984770891,0.338580365286402
"G5.delta",-0.123152108123439,0.13758120601628,0.00607943083480928,0.0498448503246776,1,-0.061371878683632,0.0391051483338445,-0.111865802928357,0.153026399000734,0.220174136368228,-0.0789824287749041,-0.0789539625566801
"G6.delta",0.0454497666475668,-0.29223136224785,0.18500089794755,-0.00214119085550994,-0.061371878683632,1,0.0141337037595112,-0.307504713774183,-0.234659862152616,-0.135181029110882,-0.0921443299883855,-0.0921110794047785
"G7.delta",0.104799226855316,0.191925359151204,-0.0196054241819118,0.318403190383037,0.0391051483338445,0.0141337037595112,1,0.0664807079531652,-0.0270859855307926,-0.211729440922286,0.493416837736738,0.493413092516869
"G8.delta",-0.0857016221053696,0.0413004559656975,-0.138126580000105,0.0838163005061363,-0.111865802928357,-0.307504713774183,0.0664807079531652,1,0.236716195294067,0.0997502026902992,-0.114345212339104,-0.114272978878064
"G9.delta",0.0592281300768851,0.0948585391945998,0.189500474229317,-0.0013615287449468,0.153026399000734,-0.234659862152616,-0.0270859855307926,0.236716195294067,1,0.47232627833211,-0.114305448365999,-0.114544635308848
"G10.delta",-0.142824940482918,0.0798311692259219,0.0702743398996662,-0.0218595890066217,0.220174136368228,-0.135181029110882,-0.211729440922286,0.0997502026902992,0.47232627833211,1,-0.0529407670489932,-0.0531193321605611
"G11.delta",-0.112440349142743,-0.0547582367673104,-0.0697930564223974,0.338782984770891,-0.0789824287749041,-0.0921443299883855,0.493416837736738,-0.114345212339104,-0.114305448365999,-0.0529407670489932,1,0.999999765937166
"G12.delta",-0.112387254369128,-0.0547237509989468,-0.0697547026322373,0.338580365286402,-0.0789539625566801,-0.0921110794047785,0.493413092516869,-0.114272978878064,-0.114544635308848,-0.0531193321605611,0.999999765937166,1
