YEAR,CPI,SWAN_SCALED,CPIXMAS_SCALED,CPIXMAS_CORE_SCALED
1984,1,1,1,1
1985,1.035611,1,1.011241514,1.025111218
1986,1.05486,1,1.019464933,1.043480636
1987,1.093359,1,1.094542496,1.21118839
1988,1.138595,1,1.087747247,1.196009208
1989,1.193455,1,1.151908382,1.339331919
1990,1.25794,1,1.201850151,1.450891504
1991,1.310876,1,1.219530266,1.490385226
1992,1.350337,1,1.229485638,1.512623467
1993,1.39076,1,1.243589015,1.544127497
1994,1.426372,1,1.258067978,1.576470505
1995,1.466795,0.5,0.984857451,1.583071299
1996,1.510106,0.5,1.041211783,1.708955224
1997,1.544755,0.5,1.052889638,1.735041138
1998,1.568816,0.5,1.121618551,1.888567319
1999,1.603465,0.5,1.178845565,2.016400637
2000,1.657363,0.5,1.200153706,2.063998618
2001,1.704524,0.5,1.242650842,2.158928433
2002,1.731473,0.3,1.148694605,2.195808276
2003,1.770934,0.5,1.332323357,2.359238291
2004,1.818094,0.5,1.364802786,2.431790622
2005,1.879692,0.6,1.447807088,2.493825746
2006,1.940327,0.6,1.492918328,2.594594928
2007,1.995188,0.6,1.539208399,2.697997377
2008,2.072214,0.8,1.663313228,2.728463258
2009,2.064841,0.75,1.693727729,2.858092626
2010,2.09871,0.8,1.849470867,3.144300933
2011,2.164957,0.9,1.914472335,3.166121448
2012,2.209759,1,2.006632706,3.248609339
2013,2.242127,1,2.161441615,3.594420434
2014,2.280184,1,2.183460685,3.643606483
