year,gaspercap,avgmpg,price
1975,473.9787671,13.1,1.81
1976,490.7028931,14.2,1.82
1977,499.6680639,15.1,1.79
1978,510.6210988,15.8,1.76
1979,479.2434768,15.9,1.64
1980,443.0857738,19.2,2.06
1981,439.2649489,20.5,2.61
1982,431.843078,21.1,2.71
1983,433.368453,21,2.43
1984,434.1965748,21,2.22
1985,439.2290366,21.3,2.1
1986,448.1893488,21.8,2.03
1987,455.067044,22,1.52
1988,459.083962,21.9,1.54
1989,454.2846744,21.4,1.49
1990,443.5668094,21.2,1.59
1991,434.8678727,21.3,1.76
1992,433.9112927,20.8,1.7
1993,440.5490763,20.9,1.63
1994,442.5076616,20.4,1.6
1995,448.120792,20.5,1.62
1996,448.7298066,20.4,1.71
1997,450.4791036,20.2,1.68
1998,458.3637898,20.1,1.43
1999,462.9281685,19.7,1.55
2000,460.0694307,19.8,1.97
2001,462.7766324,19.6,1.86
2002,470.9405977,19.5,1.7
2003,471.1317601,19.6,1.95
2004,475.7494316,19.3,2.25
2005,474.1653412,19.9,2.66
2006,474.5207574,20.1,2.91
2007,471.5235688,20.6,3.07
2008,452.2258941,21,3.51
2009,448.7172305,22.4,2.5
2010,445.0614829,22.6,2.94
2011,429.9719298,22.4,3.64
2012,423.3276506,23.6,3.69
2013,427.9924671,24.1,3.53
