Year,Sightings
1963,93.00
1964,127.00
1965,166.00
1966,198.00
1967,206.00
1968,189.00
1969,170.00
1970,137.00
1971,139.00
1972,169.00
1973,217.00
1974,267.00
1975,285.00
1976,284.00
1977,288.00
1978,274.00
1979,269.00
1980,219.00
1981,202.00
1982,170.00
1983,170.00
1984,179.00
1985,191.00
1986,202.00
1987,209.00
1988,230.00
1989,239.00
1990,235.00
1991,234.00
1992,252.00
1993,314.00
1994,681.00
1995,867.00
1996,1144.00
1997,1277.00
1998,1918.00
1999,2384.00
2000,2778.00
2001,2831.00
2002,3122.00
2003,3430.00
2004,3715.00
2005,3694.00
2006,3763.00
2007,4053.00
2008,4321.00
2009,4353.00
2010,4498.00
2011,5502.00
2012,6452.00
2013,7133.00
2014,7843.00
