Time,Hour,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
1,6:00,182,168,144,179,204,187,188
2,7:00,150,140,112,134,154,140,146
3,8:00,143,151,111,128,135,128,126
4,9:00,157,176,150,135,138,137,136
5,10:00,167,207,174,155,141,145,148
6,11:00,178,227,195,173,160,167,159
7,12:00,177,237,201,176,164,171,161
8,13:00,177,239,216,176,183,180,164
9,14:00,180,238,233,165,172,172,172
10,15:00,192,243,249,174,189,186,192
11,16:00,252,315,290,219,245,248,265
12,17:00,354,454,396,340,390,360,377
13,18:00,571,686,580,532,615,562,587
14,19:00,875,1030,865,801,877,854,873
15,20:00,1307,1550,1198,1081,1180,1220,1280
16,21:00,1598,1962,1416,1260,1328,1451,1474
17,22:00,1582,1986,1395,1195,1269,1387,1403
18,23:00,1470,1870,1310,1107,1150,1275,1226
19,0:00,566,670,690,497,556,553,507
20,1:00,483,578,585,424,481,457,446
21,2:00,339,418,409,298,355,325,326
22,3:00,264,314,321,255,264,251,263
23,4:00,235,254,266,242,244,248,233
24,5:00,206,196,203,214,220,209,213
